node(edge0, OpB, 36, []).
node(edge221, OpB, 37, []).
node(edge222, OpA, 19, []).
node(cloud223, OpA, 10000, []).
node(edge224, OpB, 31, []).
node(edge225, OpB, 33, []).
node(edge226, OpA, 49, []).
node(edge227, OpA, 15, []).
node(edge228, OpB, 20, []).
node(cloud229, OpA, 10000, []).
node(cloud230, OpA, 10000, []).
node(edge231, OpA, 17, []).
node(edge232, OpA, 28, []).
node(edge233, OpB, 38, []).
node(edge234, OpB, 7, []).
node(cloud235, OpB, 10000, []).
node(edge236, OpB, 30, []).
node(edge237, OpB, 48, []).
node(edge238, OpB, 10, []).
node(edge239, OpA, 33, []).
node(edge240, OpA, 1, []).
node(edge241, OpB, 39, []).
node(edge242, OpA, 45, []).
node(edge243, OpA, 18, []).
node(edge244, OpA, 6, []).
node(edge245, OpB, 8, []).
node(edge246, OpA, 20, []).
node(edge247, OpA, 8, []).
node(edge248, OpB, 17, []).
node(edge249, OpB, 40, []).
node(edge250, OpB, 11, []).
node(edge251, OpA, 49, []).
node(edge252, OpA, 43, []).
node(edge253, OpB, 35, []).
node(edge254, OpB, 43, []).
node(edge255, OpA, 31, []).
node(cloud256, OpB, 10000, []).
node(edge257, OpB, 29, []).
node(edge258, OpA, 23, []).
node(edge259, OpA, 18, []).
node(edge260, OpB, 39, []).
node(edge261, OpA, 39, []).
node(edge262, OpB, 24, []).
node(edge263, OpB, 6, []).
node(cloud264, OpB, 10000, []).
node(edge265, OpB, 3, []).
node(edge266, OpB, 25, []).
node(edge267, OpB, 40, []).
node(edge268, OpB, 16, []).
node(cloud269, OpB, 10000, []).
node(edge270, OpB, 27, []).
node(edge271, OpB, 46, []).
node(edge272, OpB, 23, []).
node(edge273, OpB, 30, []).
node(cloud274, OpA, 10000, []).
node(cloud275, OpB, 10000, []).
node(edge276, OpA, 37, []).
node(edge277, OpB, 17, []).
node(edge278, OpB, 19, []).
node(edge279, OpB, 16, []).
node(edge280, OpA, 43, []).
node(cloud281, OpB, 10000, []).
node(cloud282, OpA, 10000, []).
node(cloud283, OpA, 10000, []).
node(edge284, OpB, 27, []).
node(edge285, OpB, 24, []).
node(cloud286, OpB, 10000, []).
node(edge287, OpB, 4, []).
node(edge288, OpB, 50, []).
node(edge289, OpA, 40, []).
node(cloud290, OpB, 10000, []).
node(edge291, OpB, 18, []).
node(edge292, OpA, 46, []).
node(edge293, OpB, 40, []).
node(edge294, OpB, 10, []).
node(edge295, OpA, 17, []).
node(edge296, OpB, 16, []).
node(edge297, OpA, 17, []).
node(edge298, OpA, 10, []).
node(edge299, OpA, 40, []).
node(edge300, OpB, 19, []).
node(edge301, OpB, 26, []).
node(edge302, OpA, 13, []).
node(edge303, OpA, 3, []).
node(edge304, OpB, 27, []).
node(edge305, OpA, 3, []).
node(edge306, OpB, 43, []).
node(edge307, OpB, 6, []).
node(edge308, OpB, 3, []).
node(edge309, OpB, 26, []).
node(edge310, OpA, 16, []).
node(edge311, OpA, 8, []).
node(cloud312, OpA, 10000, []).
node(cloud313, OpA, 10000, []).
node(edge314, OpB, 26, []).
node(edge315, OpB, 12, []).
node(edge316, OpA, 25, []).
node(edge317, OpB, 2, []).
node(edge318, OpA, 29, []).
node(edge319, OpB, 19, []).
node(edge320, OpA, 39, []).
node(edge321, OpB, 23, []).
node(edge322, OpB, 24, []).
node(edge323, OpB, 48, []).
node(edge324, OpA, 2, []).
node(edge325, OpB, 34, []).
node(edge326, OpA, 16, []).
node(edge327, OpB, 15, []).
node(edge328, OpB, 32, []).
node(edge329, OpA, 38, []).
node(edge330, OpB, 15, []).
node(cloud331, OpA, 10000, []).
node(edge332, OpB, 42, []).
node(edge333, OpB, 41, []).
node(edge334, OpA, 12, []).
node(edge335, OpA, 38, []).
node(edge336, OpA, 13, []).
node(edge337, OpA, 47, []).
node(edge338, OpA, 8, []).
node(edge339, OpA, 45, []).
node(cloud340, OpB, 10000, []).
node(edge341, OpB, 37, []).
node(edge342, OpA, 14, []).
node(edge343, OpB, 12, []).
node(edge344, OpA, 49, []).
node(edge345, OpB, 3, []).
node(edge346, OpB, 28, []).
node(edge347, OpB, 3, []).
node(edge348, OpB, 39, []).
node(edge349, OpB, 19, []).
node(edge350, OpA, 1, []).
node(edge351, OpA, 36, []).
node(edge352, OpB, 34, []).
node(cloud353, OpB, 10000, []).
node(edge354, OpA, 16, []).
node(edge355, OpA, 15, []).
node(edge356, OpB, 32, []).
node(edge357, OpB, 49, []).
node(edge358, OpB, 8, []).
node(cloud359, OpA, 10000, []).
node(edge360, OpB, 45, []).
node(edge361, OpB, 7, []).
node(edge362, OpB, 14, []).
node(cloud363, OpA, 10000, []).
node(edge364, OpB, 18, []).
node(edge365, OpB, 36, []).
node(edge366, OpB, 50, []).
node(cloud367, OpB, 10000, []).
node(edge368, OpB, 20, []).
node(edge369, OpA, 3, []).
node(edge370, OpB, 17, []).
node(edge371, OpA, 21, []).
node(edge372, OpB, 46, []).
node(edge373, OpA, 43, []).
node(cloud374, OpB, 10000, []).
node(edge375, OpB, 33, []).
node(edge376, OpB, 40, []).
node(edge377, OpB, 4, []).
node(cloud378, OpA, 10000, []).
node(edge379, OpA, 20, []).
node(edge380, OpA, 9, []).
node(cloud381, OpA, 10000, []).
node(cloud382, OpA, 10000, []).
node(cloud383, OpA, 10000, []).
node(edge384, OpA, 16, []).
node(edge385, OpB, 4, []).
node(edge386, OpB, 17, []).
node(cloud387, OpB, 10000, []).
node(cloud388, OpB, 10000, []).
node(edge389, OpB, 20, []).
node(edge390, OpA, 34, []).
node(edge391, OpB, 37, []).
node(cloud392, OpB, 10000, []).
node(cloud393, OpB, 10000, []).
node(edge394, OpB, 37, []).
node(edge395, OpB, 1, []).
node(edge396, OpA, 5, []).
node(edge397, OpA, 8, []).
node(edge398, OpA, 24, []).
node(edge399, OpB, 35, []).
node(edge400, OpB, 48, []).
node(edge401, OpA, 44, []).
node(edge402, OpB, 33, []).
node(edge403, OpB, 15, []).
node(edge404, OpB, 22, []).
node(edge405, OpB, 20, []).
node(cloud406, OpB, 10000, []).
node(edge407, OpB, 13, []).
node(edge408, OpB, 46, []).
node(edge409, OpA, 48, []).
node(edge410, OpB, 49, []).
node(edge411, OpA, 21, []).
node(edge412, OpB, 33, []).
node(edge413, OpB, 40, []).
node(edge414, OpB, 50, []).
node(edge415, OpA, 22, []).
node(edge416, OpA, 21, []).
node(edge417, OpB, 18, []).
node(edge418, OpA, 9, []).
node(edge419, OpB, 10, []).
node(cloud420, OpB, 10000, []).
node(edge421, OpB, 22, []).
node(edge422, OpA, 19, []).
node(edge423, OpB, 19, []).
node(edge424, OpA, 27, []).
node(edge425, OpB, 31, []).
node(edge426, OpA, 29, []).
node(edge427, OpB, 50, []).
node(edge428, OpA, 41, []).
node(edge429, OpB, 6, []).
node(edge430, OpA, 13, []).
node(edge431, OpA, 44, []).
node(edge432, OpA, 43, []).
node(edge433, OpB, 25, []).
node(edge434, OpB, 25, []).
node(cloud435, OpA, 10000, []).
node(edge436, OpB, 9, []).
node(edge437, OpB, 19, []).
node(edge438, OpB, 34, []).
node(edge439, OpA, 1, []).
node(cloud440, OpA, 10000, []).
node(edge441, OpA, 10, []).
node(cloud442, OpA, 10000, []).
node(cloud443, OpA, 10000, []).
node(edge444, OpA, 22, []).
node(edge445, OpA, 28, []).
node(edge446, OpB, 27, []).
node(edge447, OpA, 41, []).
node(edge448, OpA, 7, []).
node(edge449, OpB, 37, []).
node(edge450, OpA, 12, []).
node(edge451, OpA, 29, []).
node(cloud452, OpA, 10000, []).
node(edge453, OpB, 17, []).
node(edge454, OpB, 27, []).
node(edge455, OpB, 14, []).
node(edge456, OpA, 19, []).
node(cloud457, OpA, 10000, []).
node(edge458, OpA, 13, []).
node(edge459, OpA, 19, []).
node(edge460, OpA, 12, []).
node(cloud461, OpA, 10000, []).
node(edge462, OpA, 49, []).
node(edge463, OpB, 29, []).
node(edge464, OpA, 4, []).
node(edge465, OpB, 18, []).
node(edge466, OpA, 32, []).
node(cloud467, OpB, 10000, []).
node(edge468, OpB, 36, []).
node(edge469, OpB, 2, []).
node(edge470, OpB, 45, []).
node(cloud471, OpB, 10000, []).
node(edge472, OpB, 24, []).
node(edge473, OpB, 19, []).
node(edge474, OpB, 19, []).
node(edge475, OpA, 14, []).
node(edge476, OpB, 28, []).
node(edge477, OpA, 34, []).
node(edge478, OpB, 6, []).
node(edge479, OpB, 5, []).
node(cloud480, OpA, 10000, []).
node(edge481, OpA, 31, []).
node(edge482, OpA, 31, []).
node(edge483, OpB, 5, []).
node(edge484, OpB, 38, []).
node(edge485, OpA, 8, []).
node(edge486, OpB, 33, []).
node(cloud487, OpA, 10000, []).
node(edge488, OpA, 40, []).
node(edge489, OpB, 24, []).
node(edge490, OpB, 35, []).
node(edge491, OpB, 8, []).
node(edge492, OpB, 16, []).
node(edge493, OpB, 14, []).
node(edge494, OpA, 29, []).
node(edge495, OpA, 21, []).
node(edge496, OpB, 11, []).
node(edge497, OpA, 28, []).
node(edge498, OpB, 44, []).
node(edge499, OpA, 47, []).
link(edge0, edge29, 35, 4).
link(edge29, edge0, 64, 47).
link(edge0, edge56, 64, 21).
link(edge56, edge0, 120, 28).
link(edge0, cloud86, 11, 11).
link(cloud86, edge0, 92, 37).
link(edge0, edge243, 17, 45).
link(edge243, edge0, 35, 40).
link(edge0, edge285, 92, 37).
link(edge285, edge0, 113, 36).
link(edge0, edge346, 128, 19).
link(edge346, edge0, 107, 14).
link(edge0, edge362, 53, 39).
link(edge362, edge0, 127, 27).
link(edge0, edge366, 74, 50).
link(edge366, edge0, 74, 47).
link(edge0, edge368, 40, 34).
link(edge368, edge0, 90, 12).
link(edge1, edge42, 7, 18).
link(edge42, edge1, 46, 43).
link(edge1, edge84, 70, 35).
link(edge84, edge1, 88, 34).
link(edge1, edge126, 14, 49).
link(edge126, edge1, 114, 29).
link(edge1, edge259, 111, 43).
link(edge259, edge1, 14, 38).
link(edge1, edge261, 63, 10).
link(edge261, edge1, 88, 27).
link(edge1, edge267, 31, 18).
link(edge267, edge1, 24, 3).
link(edge1, cloud282, 16, 21).
link(cloud282, edge1, 68, 17).
link(edge2, edge191, 25, 39).
link(edge191, edge2, 62, 28).
link(edge2, edge195, 40, 11).
link(edge195, edge2, 37, 37).
link(edge2, edge196, 13, 6).
link(edge196, edge2, 25, 12).
link(edge2, edge214, 15, 6).
link(edge214, edge2, 72, 32).
link(edge2, edge227, 9, 2).
link(edge227, edge2, 58, 38).
link(edge2, edge245, 46, 3).
link(edge245, edge2, 50, 14).
link(edge2, cloud274, 140, 21).
link(cloud274, edge2, 13, 9).
link(edge2, cloud283, 118, 35).
link(cloud283, edge2, 77, 23).
link(edge2, edge441, 28, 2).
link(edge441, edge2, 58, 29).
link(edge2, edge490, 110, 2).
link(edge490, edge2, 125, 28).
link(edge2, edge495, 78, 5).
link(edge495, edge2, 98, 7).
link(edge2, edge499, 101, 49).
link(edge499, edge2, 15, 13).
link(edge3, edge355, 145, 3).
link(edge355, edge3, 109, 11).
link(edge3, edge365, 134, 17).
link(edge365, edge3, 100, 31).
link(edge3, edge397, 103, 47).
link(edge397, edge3, 29, 10).
link(edge3, edge444, 57, 11).
link(edge444, edge3, 12, 34).
link(edge4, edge30, 138, 32).
link(edge30, edge4, 134, 24).
link(edge4, edge48, 136, 2).
link(edge48, edge4, 14, 36).
link(edge4, cloud70, 38, 35).
link(cloud70, edge4, 87, 21).
link(edge4, edge338, 49, 42).
link(edge338, edge4, 32, 4).
link(edge4, edge377, 150, 30).
link(edge377, edge4, 113, 30).
link(edge4, edge456, 148, 1).
link(edge456, edge4, 97, 47).
link(edge4, edge474, 24, 49).
link(edge474, edge4, 78, 31).
link(edge5, edge35, 124, 31).
link(edge35, edge5, 39, 45).
link(edge5, edge110, 138, 6).
link(edge110, edge5, 70, 6).
link(edge5, edge130, 21, 39).
link(edge130, edge5, 100, 14).
link(edge5, edge147, 68, 15).
link(edge147, edge5, 136, 30).
link(edge5, edge191, 40, 42).
link(edge191, edge5, 73, 9).
link(edge5, edge199, 48, 17).
link(edge199, edge5, 28, 30).
link(edge5, edge247, 79, 33).
link(edge247, edge5, 138, 2).
link(edge5, edge248, 10, 18).
link(edge248, edge5, 78, 29).
link(edge5, edge288, 97, 33).
link(edge288, edge5, 97, 48).
link(edge5, edge311, 64, 2).
link(edge311, edge5, 63, 23).
link(edge5, edge427, 84, 6).
link(edge427, edge5, 6, 47).
link(edge6, edge88, 137, 19).
link(edge88, edge6, 96, 1).
link(edge6, edge128, 62, 22).
link(edge128, edge6, 146, 12).
link(edge6, edge131, 88, 18).
link(edge131, edge6, 124, 9).
link(edge6, edge141, 45, 10).
link(edge141, edge6, 69, 31).
link(edge6, edge155, 47, 13).
link(edge155, edge6, 139, 5).
link(edge6, edge208, 60, 16).
link(edge208, edge6, 42, 5).
link(edge6, cloud282, 14, 38).
link(cloud282, edge6, 70, 38).
link(edge6, edge385, 38, 46).
link(edge385, edge6, 139, 47).
link(edge6, edge437, 48, 29).
link(edge437, edge6, 69, 43).
link(edge6, cloud440, 62, 7).
link(cloud440, edge6, 2, 31).
link(edge7, edge36, 35, 49).
link(edge36, edge7, 83, 40).
link(edge7, edge45, 76, 38).
link(edge45, edge7, 117, 45).
link(edge7, edge90, 119, 32).
link(edge90, edge7, 133, 37).
link(edge7, cloud101, 19, 40).
link(cloud101, edge7, 108, 18).
link(edge7, edge259, 30, 27).
link(edge259, edge7, 134, 31).
link(edge7, edge263, 2, 20).
link(edge263, edge7, 59, 10).
link(edge7, edge266, 53, 31).
link(edge266, edge7, 17, 17).
link(edge7, edge278, 32, 31).
link(edge278, edge7, 145, 22).
link(edge7, edge380, 136, 35).
link(edge380, edge7, 81, 18).
link(edge7, edge398, 89, 39).
link(edge398, edge7, 62, 17).
link(edge8, edge35, 113, 10).
link(edge35, edge8, 119, 41).
link(edge8, edge75, 88, 47).
link(edge75, edge8, 150, 32).
link(edge8, edge104, 121, 19).
link(edge104, edge8, 4, 44).
link(edge8, edge160, 50, 34).
link(edge160, edge8, 103, 26).
link(edge8, edge216, 126, 24).
link(edge216, edge8, 9, 15).
link(edge8, edge276, 111, 18).
link(edge276, edge8, 106, 47).
link(edge8, edge279, 18, 47).
link(edge279, edge8, 48, 29).
link(edge8, edge300, 17, 25).
link(edge300, edge8, 19, 47).
link(edge8, edge322, 63, 45).
link(edge322, edge8, 93, 18).
link(edge8, edge411, 49, 47).
link(edge411, edge8, 51, 24).
link(edge9, edge34, 80, 15).
link(edge34, edge9, 111, 43).
link(edge9, cloud97, 148, 36).
link(cloud97, edge9, 30, 36).
link(edge9, edge127, 106, 49).
link(edge127, edge9, 91, 3).
link(edge9, cloud164, 78, 44).
link(cloud164, edge9, 87, 36).
link(edge9, edge225, 84, 26).
link(edge225, edge9, 33, 7).
link(edge9, edge226, 96, 38).
link(edge226, edge9, 67, 28).
link(edge9, edge348, 144, 19).
link(edge348, edge9, 29, 18).
link(edge9, edge370, 82, 47).
link(edge370, edge9, 70, 22).
link(edge9, cloud387, 45, 14).
link(cloud387, edge9, 133, 11).
link(edge9, edge401, 8, 46).
link(edge401, edge9, 96, 38).
link(edge9, edge411, 108, 24).
link(edge411, edge9, 3, 35).
link(edge9, edge422, 92, 19).
link(edge422, edge9, 138, 7).
link(edge9, edge425, 57, 5).
link(edge425, edge9, 50, 22).
link(edge9, edge430, 53, 25).
link(edge430, edge9, 66, 9).
link(edge9, edge493, 147, 39).
link(edge493, edge9, 4, 22).
link(edge10, edge88, 109, 45).
link(edge88, edge10, 83, 48).
link(edge10, edge115, 62, 21).
link(edge115, edge10, 65, 47).
link(edge10, edge198, 52, 38).
link(edge198, edge10, 84, 31).
link(edge10, edge220, 1, 21).
link(edge220, edge10, 39, 17).
link(edge10, edge251, 124, 30).
link(edge251, edge10, 135, 9).
link(edge10, edge307, 30, 45).
link(edge307, edge10, 24, 6).
link(edge10, edge324, 127, 48).
link(edge324, edge10, 112, 31).
link(edge10, edge325, 102, 45).
link(edge325, edge10, 75, 50).
link(edge10, edge351, 29, 1).
link(edge351, edge10, 144, 16).
link(edge10, cloud363, 106, 47).
link(cloud363, edge10, 55, 12).
link(edge11, edge119, 44, 12).
link(edge119, edge11, 16, 16).
link(edge11, edge180, 110, 7).
link(edge180, edge11, 118, 31).
link(edge11, edge279, 115, 24).
link(edge279, edge11, 70, 34).
link(edge11, cloud283, 75, 39).
link(cloud283, edge11, 30, 2).
link(edge11, edge287, 56, 43).
link(edge287, edge11, 141, 18).
link(edge11, edge354, 129, 47).
link(edge354, edge11, 10, 21).
link(edge11, edge399, 111, 28).
link(edge399, edge11, 142, 12).
link(edge11, edge416, 117, 33).
link(edge416, edge11, 111, 47).
link(edge11, edge431, 79, 10).
link(edge431, edge11, 18, 33).
link(edge11, edge497, 37, 3).
link(edge497, edge11, 73, 6).
link(edge12, edge52, 49, 24).
link(edge52, edge12, 15, 1).
link(edge12, edge59, 100, 27).
link(edge59, edge12, 129, 10).
link(edge12, edge67, 78, 49).
link(edge67, edge12, 4, 43).
link(edge12, edge116, 21, 32).
link(edge116, edge12, 68, 42).
link(edge12, edge138, 80, 30).
link(edge138, edge12, 119, 12).
link(edge12, edge206, 144, 17).
link(edge206, edge12, 150, 30).
link(edge12, cloud440, 57, 25).
link(cloud440, edge12, 88, 20).
link(edge12, cloud442, 105, 48).
link(cloud442, edge12, 72, 50).
link(edge13, edge73, 46, 11).
link(edge73, edge13, 57, 25).
link(edge13, edge174, 9, 33).
link(edge174, edge13, 110, 48).
link(edge13, edge237, 108, 34).
link(edge237, edge13, 121, 10).
link(edge13, edge242, 62, 27).
link(edge242, edge13, 21, 2).
link(edge13, edge279, 40, 10).
link(edge279, edge13, 11, 48).
link(edge13, edge291, 42, 26).
link(edge291, edge13, 49, 26).
link(edge13, cloud312, 66, 11).
link(cloud312, edge13, 95, 49).
link(edge13, edge332, 57, 21).
link(edge332, edge13, 129, 4).
link(edge14, edge19, 109, 45).
link(edge19, edge14, 17, 29).
link(edge14, cloud21, 97, 34).
link(cloud21, edge14, 16, 16).
link(edge14, edge114, 86, 1).
link(edge114, edge14, 96, 2).
link(edge14, edge137, 19, 35).
link(edge137, edge14, 16, 8).
link(edge14, cloud161, 110, 7).
link(cloud161, edge14, 83, 7).
link(edge14, edge191, 130, 28).
link(edge191, edge14, 131, 28).
link(edge14, cloud275, 17, 16).
link(cloud275, edge14, 111, 14).
link(edge14, edge455, 120, 12).
link(edge455, edge14, 84, 20).
link(edge15, edge98, 36, 4).
link(edge98, edge15, 2, 24).
link(edge15, edge172, 103, 18).
link(edge172, edge15, 103, 12).
link(edge15, cloud229, 26, 31).
link(cloud229, edge15, 63, 34).
link(edge15, cloud281, 131, 11).
link(cloud281, edge15, 94, 45).
link(edge15, edge308, 13, 22).
link(edge308, edge15, 122, 44).
link(edge15, edge438, 77, 27).
link(edge438, edge15, 80, 39).
link(edge15, cloud457, 101, 22).
link(cloud457, edge15, 48, 28).
link(edge16, edge71, 57, 41).
link(edge71, edge16, 58, 44).
link(edge16, edge102, 102, 23).
link(edge102, edge16, 38, 35).
link(edge16, edge132, 60, 13).
link(edge132, edge16, 77, 44).
link(edge16, cloud223, 111, 28).
link(cloud223, edge16, 18, 15).
link(edge16, edge241, 113, 1).
link(edge241, edge16, 129, 18).
link(edge16, edge245, 144, 8).
link(edge245, edge16, 58, 34).
link(edge16, edge485, 16, 15).
link(edge485, edge16, 139, 12).
link(edge17, edge88, 7, 29).
link(edge88, edge17, 125, 18).
link(edge17, edge145, 140, 20).
link(edge145, edge17, 104, 38).
link(edge17, cloud179, 54, 11).
link(cloud179, edge17, 54, 42).
link(edge17, edge232, 25, 22).
link(edge232, edge17, 61, 19).
link(edge17, edge242, 126, 39).
link(edge242, edge17, 144, 14).
link(edge17, edge344, 28, 17).
link(edge344, edge17, 26, 20).
link(edge17, edge389, 96, 45).
link(edge389, edge17, 37, 24).
link(edge17, edge423, 20, 13).
link(edge423, edge17, 108, 35).
link(edge17, edge433, 56, 1).
link(edge433, edge17, 66, 35).
link(edge17, edge444, 50, 8).
link(edge444, edge17, 126, 41).
link(edge18, edge20, 107, 21).
link(edge20, edge18, 43, 29).
link(edge18, edge30, 139, 33).
link(edge30, edge18, 127, 15).
link(edge18, edge50, 40, 38).
link(edge50, edge18, 77, 18).
link(edge18, edge51, 84, 15).
link(edge51, edge18, 76, 1).
link(edge18, edge60, 144, 39).
link(edge60, edge18, 45, 20).
link(edge18, edge102, 60, 11).
link(edge102, edge18, 50, 6).
link(edge18, edge121, 125, 36).
link(edge121, edge18, 17, 44).
