node(edge0, opB, 28, []).
link(edge10, edge3, 36, 7).
link(edge3, edge11, 58, 11).
link(edge11, edge3, 46, 24).
link(edge3, edge20, 133, 30).
link(edge20, edge3, 88, 34).
link(edge3, edge34, 80, 8).
link(edge34, edge3, 65, 45).
link(edge4, edge39, 62, 47).
link(edge39, edge4, 20, 26).
link(edge4, cloud45, 124, 24).
link(cloud45, edge4, 43, 7).
link(edge5, edge7, 34, 22).
link(edge7, edge5, 129, 41).
link(edge5, edge42, 92, 5).
link(edge42, edge5, 43, 14).
link(edge5, edge44, 64, 14).
link(edge44, edge5, 18, 14).
link(edge6, edge9, 106, 47).
link(edge9, edge6, 148, 18).
link(edge7, edge9, 138, 14).
link(edge9, edge7, 7, 10).
link(edge7, edge20, 52, 23).
link(edge20, edge7, 74, 48).
link(edge8, edge12, 80, 10).
link(edge12, edge8, 19, 42).
link(edge8, edge30, 135, 32).
link(edge30, edge8, 88, 41).
link(edge9, edge33, 137, 15).
link(edge33, edge9, 52, 42).
link(edge10, edge16, 21, 34).
link(edge16, edge10, 14, 18).
link(edge10, edge25, 57, 21).
link(edge25, edge10, 134, 27).
link(edge10, edge27, 60, 10).
link(edge27, edge10, 103, 10).
link(edge11, edge12, 132, 41).
link(edge12, edge11, 146, 27).
link(edge11, edge33, 129, 23).
link(edge33, edge11, 12, 9).
link(edge11, edge41, 18, 31).
link(edge41, edge11, 100, 45).
link(edge13, edge30, 143, 15).
link(edge30, edge13, 12, 37).
link(edge13, edge40, 105, 9).
link(edge40, edge13, 22, 14).
link(edge14, cloud45, 120, 26).
link(cloud45, edge14, 44, 44).
link(cloud15, edge37, 86, 10).
link(edge37, cloud15, 133, 15).
link(cloud15, edge43, 90, 46).
link(edge43, cloud15, 147, 39).
link(edge16, edge19, 60, 12).
link(edge19, edge16, 5, 9).
link(edge16, edge30, 132, 6).
link(edge30, edge16, 8, 39).
link(edge17, edge39, 44, 32).
link(edge39, edge17, 45, 24).
link(edge18, edge32, 108, 34).
link(edge32, edge18, 115, 25).
link(edge19, edge21, 150, 27).
link(edge21, edge19, 91, 5).
link(edge19, edge35, 114, 2).
link(edge35, edge19, 131, 34).
link(edge19, cloud49, 116, 47).
link(cloud49, edge19, 93, 27).
link(edge21, edge26, 25, 35).
link(edge26, edge21, 35, 25).
link(edge22, cloud45, 120, 6).
link(cloud45, edge22, 24, 26).
link(edge23, cloud45, 150, 11).
link(cloud45, edge23, 33, 2).
link(edge24, edge39, 37, 42).
link(edge39, edge24, 2, 41).
link(edge25, edge31, 92, 9).
link(edge31, edge25, 143, 13).
link(edge25, edge43, 74, 39).
link(edge43, edge25, 107, 42).
link(edge25, cloud45, 89, 24).
link(cloud45, edge25, 33, 1).
link(edge25, edge47, 60, 15).
link(edge47, edge25, 50, 20).
link(edge28, edge37, 21, 47).
link(edge37, edge28, 98, 18).
link(edge28, edge40, 58, 21).
link(edge40, edge28, 137, 14).
link(edge28, edge42, 45, 42).
link(edge42, edge28, 60, 36).
link(edge28, edge48, 74, 8).
link(edge48, edge28, 57, 21).
link(edge29, edge44, 70, 3).
link(edge44, edge29, 18, 2).
link(edge29, edge48, 34, 41).
link(edge48, edge29, 127, 38).
link(edge30, edge36, 56, 19).
link(edge36, edge30, 56, 34).
link(edge30, edge40, 13, 22).
link(edge40, edge30, 71, 48).
link(edge31, cloud45, 124, 37).
link(cloud45, edge31, 95, 26).
link(edge32, edge35, 70, 43).
link(edge35, edge32, 14, 17).
link(edge32, edge41, 130, 45).
link(edge41, edge32, 21, 49).
link(edge33, edge44, 11, 8).
link(edge44, edge33, 123, 4).
link(edge35, edge43, 138, 8).
link(edge43, edge35, 113, 10).
link(edge38, edge46, 89, 8).
link(edge46, edge38, 118, 2).
link(edge38, edge47, 34, 40).
link(edge47, edge38, 92, 16).
